mass,ctau
0.49241386932286163,118.8634660907788
0.497253331821793,114.6422415670523
0.5021403567448104,110.56818817413942
0.507075411537252,106.63619970827996
0.512058968238527,102.84145665000274
0.5170915035272663,99.17928622280476
0.5221734987669159,95.64516000821723
0.5273054400517813,92.23469136968771
0.5324878182535209,88.9436326936782
0.5377211290680992,85.7678724798398
0.5430058730631996,82.70343230985952
0.5483425557261038,79.74643658862342
0.553731687512042,76.88948158859257
0.5591737838930183,74.12718454397478
0.5646693654071155,71.45711996963905
0.5702189577082848,68.87685025717516
0.5758230916166246,66.38393509396016
0.5814823031691535,63.97593985325045
0.5871971336710828,61.65044302928215
0.5929681297475925,59.4050427892381
0.5987958433961157,57.23736271134469
0.6046808320391376,55.14505677541248
0.6106236585775131,53.125813668937504
