mass,hepmc_avgdecpos,hepmc_avgctau,madspin_autoctau,VeN1,process,SampleY
0.4,232080.89528154844,259.91760692677053,698.806232561695,0.01,CCDY_eev,3
0.3,1069105.9668093333,926.8380123836563,3147.442021937413,0.01,CCDY_eev,2
0.2,7039102.083963357,6504.546283397523,25803.19062606909,0.01,CCDY_eev,1
0.1,7529091326.374023,3424716.636149848,1964049.1280839331,0.01,CCDY_eev,0
0.5,71434.67206713272,84.68093362581403,219.90617514714984,0.01,CCDY_eev,4
0.6,33470.10452641999,61.403970280156315,85.95206516094575,0.01,CCDY_eev,5
0.8,5470.403652496029,17.512110335118212,19.789080828964654,0.01,CCDY_eev,7
0.7,19134.1662094467,34.1861431979701,39.1057447380731,0.01,CCDY_eev,6
0.9,2575.2850660171407,9.817048627766955,10.88422625035484,0.01,CCDY_eev,8
1.0,2023.022867227474,5.839742580554233,6.381060407759648,0.01,CCDY_eev,9
1.2,766.6676053755317,2.2423338918927467,2.541462874061672,0.01,CCDY_eev,10
1.4,248.76290872733338,1.060171304412841,1.1692685942485201,0.01,CCDY_eev,11
1.6,90.27251996178735,0.5716525308971365,0.5972440751972212,0.01,CCDY_eev,12
0.1,6615254940.179047,3166422.915589449,1964049.1280839331,0.01,CCDY_eev,13
0.2,7607499.567598729,6641.899191957915,25803.19062606909,0.01,CCDY_eev,14
0.3,903149.9837786256,764.8270011600191,3147.442021937413,0.01,CCDY_eev,15
0.4,213733.2343880597,283.69795693415637,698.806232561695,0.01,CCDY_eev,16
0.5,70000.13959340089,104.21673291197042,219.90617514714984,0.01,CCDY_eev,17
0.8,7618.01649637071,19.2975040439448,19.789080828964654,0.01,CCDY_eev,20
0.7,18122.310223572367,37.25345149160591,39.1057447380731,0.01,CCDY_eev,19
0.6,26825.584673471003,63.44082190074125,85.95206516094575,0.01,CCDY_eev,18
0.9,3701.6679522268537,11.976521122438424,10.88422625035484,0.01,CCDY_eev,21
1.4,285.8091907242955,1.076017371622604,1.1692685942485201,0.01,CCDY_eev,24
1.2,632.5500162600715,2.2435203511627524,2.541462874061672,0.01,CCDY_eev,23
1.0,2181.1344806605885,6.111097080291136,6.381060407759648,0.01,CCDY_eev,22
1.6,81.03310135443823,0.48098079699629664,0.5972440751972212,0.01,CCDY_eev,25
0.1,7128778664.114047,2788006.5407067332,1964049.1280839331,0.01,CCDY_eev,26
0.4,191076.79442623933,256.98618669545476,698.806232561695,0.01,CCDY_eev,29
0.2,9231810.861386761,5190.489983979914,25803.19062606909,0.01,CCDY_eev,27
0.3,815470.6571731654,729.5069573476408,3147.442021937413,0.01,CCDY_eev,28
0.5,62521.72134462763,99.49847341040153,219.90617514714984,0.01,CCDY_eev,30
0.6,31955.318484079406,60.10849902282308,85.95206516094575,0.01,CCDY_eev,31
0.8,11899.943589990931,23.701983238312028,19.789080828964654,0.01,CCDY_eev,33
0.9,3006.594567372647,9.343124967104321,10.88422625035484,0.01,CCDY_eev,34
0.7,17249.123808738164,28.31590138472752,39.1057447380731,0.01,CCDY_eev,32
1.0,2280.539542108322,5.647859740874709,6.381060407759648,0.01,CCDY_eev,35
1.4,201.19476733791907,0.9542268256416269,1.1692685942485201,0.01,CCDY_eev,37
1.6,99.92821919693877,0.5504189613371432,0.5972440751972212,0.01,CCDY_eev,38
1.2,471.93657052984037,1.9074328125472653,2.541462874061672,0.01,CCDY_eev,36
0.2,7640100.999502986,5738.925870203181,25803.19062606909,0.01,CCDY_eev,40
